ts,frame,x,y,z,v
1680172393342,50,1.1361992047543552e-34,1.0835409608461035e-34,1.1662994365638388e-34,1.4973225487639817e-34
1680172393342,50,1.3092466668747812e-34,8.878363042910587e-35,1.211427514170246e-34,1.5123696800150984e-34
1680172393342,50,1.7230164309725291e-34,9.631804412264786e-35,1.5123657770065117e-34,6.470960369948009e-35
1680172393342,50,8.84071622920432e-35,1.0760096466005568e-34,9.55545123281533e-35,1.0835437159109882e-34
1680172393342,50,1.414551675254265e-34,1.6553093338976077e-34,1.5650304493994945e-34,1.1663055206654593e-34
1680172393376,51,1.1211579280161187e-34,1.2415306158389844e-34,9.404987955910077e-35,1.3995247478123031e-34
1680172393376,51,1.361898482298302e-34,1.34685996062495e-34,4.966317269402163e-35,1.1286817806276025e-34
1680172393376,51,1.5424538406127543e-34,1.045933177225704e-34,8.276450242217073e-35,9.17932920077881e-35
1680172393376,51,4.721285529370442e-35,1.316757662516803e-34,8.615069527481924e-35,7.900300659531706e-35
1680172393376,51,8.201274279033992e-35,1.053456455865337e-34,9.292134184540777e-35,3.461139801063048e-35
1680172393409,52,9.593007932940992e-35,1.2716148912310106e-34,8.953597551222468e-35,1.4446490372044937e-34
1680172393409,52,1.0835363690712956e-34,1.7531082827929883e-34,1.015839029517841e-34,1.0233452037963144e-34
1680172393409,52,1.534932054299934e-34,1.060984555868518e-34,1.5499836625314884e-34,1.0534571446315581e-34
1680172393441,53,9.80908925027372e-45,3.923635700109488e-44,9.477656379569157e-38,1.3518405879094284e-37
1680172393441,53,9.991904890007078e-38,8.963241394873674e-38,8.963241394873674e-38,7.383668058359296e-38
1680172393441,53,7.383668058359296e-38,4.203895392974451e-45,1.793662034335766e-43,1.023355420495262e-34
1680172393441,53,9.555430569828695e-35,1.6402591031984958e-34,1.6553026758241363e-34,9.254511477652252e-35
1680172393441,53,9.179272377565563e-35,7.749857471641237e-35,9.028836651309157e-35,9.706963730264188e-35
1680172393441,53,1.1512489762759864e-34,8.502231827324451e-35,1.2340096330867556e-34,7.937971580055714e-35
1680172393441,53,1.5575070559654915e-34,9.555438031462758e-35,1.3769483686143033e-34,1.045933751197555e-34
1680172393474,54,9.216887048848174e-35,9.631705689106416e-35,9.216924357018488e-35,8.389343617644091e-35
1680172393510,55,1.0158312235006675e-34,9.51786640806897e-35,1.3694255491521513e-34,1.2791541262881009e-34
1680172393542,56,5.229629151930057e-35,8.652654926200135e-35,1.7154918895948241e-34,1.3543787622841452e-34
1680172393542,56,1.6101690880879597e-34,1.1587884409218171e-34,8.765507549625733e-35,5.981897322820838e-35
1680172393542,56,1.6778771035178427e-34,1.7907312192702538e-34,7.749936105784823e-35,9.480206966981982e-35
1680172393542,56,5.229592417731594e-35,1.1963822196290524e-34,9.141681813100693e-35,9.141670907635524e-35
1680172393576,57,9.80908925027372e-45,3.363116314379561e-44,1.1093947659484544e-37,1.4326564971517235e-37
1680172393576,57,1.1534784945973417e-37,7.089809044157753e-38,7.861203109551293e-38,7.861203109551293e-38
1680172393576,57,4.203895392974451e-45,1.793662034335766e-43,1.1813361215272675e-34,9.367353195612682e-35
1680172393576,57,8.42699157929406e-35,8.652666405637155e-35,9.480212706700492e-35,8.426986413547401e-35
1680172393576,57,1.0835416496123247e-34,1.3694233680591175e-34,8.652661239890496e-35,1.2641019440846955e-34
1680172393576,57,9.706960286433082e-35,8.013223881494976e-35,1.5424576288269708e-34,9.179310833679579e-35
1680172393607,58,1.0308838648815537e-34,5.003919887275903e-35,8.238878618823286e-35,1.1512562083213089e-34
1680172393607,58,1.2565771731182501e-34,1.4371271360973032e-34,1.2114406007284484e-34,9.14169731034067e-35
1680172393607,58,1.4597044336502646e-34,1.173823518764063e-34,8.238920518768408e-35,1.4220886144239514e-34
1680172393707,59,1.2039131894914885e-34,1.5575075151429722e-34,1.4145616623644722e-34,1.4371327610214429e-34
1680172393741,60,1.6929155103968244e-34,1.986556524708376e-34,1.0007949977147196e-34,7.975579363676113e-35
1680172393774,61,1.2340055004894284e-34,1.2264833697934976e-34,1.3017229290576676e-34,1.497326796155679e-34
1680172393808,62,9.141637617268167e-35,7.486569695931085e-35,1.3995139571415046e-34,1.279150682456995e-34
1680172393876,63,6.245224702588709e-35,5.568111257922522e-35,1.4220835634716627e-34,1.422091943460687e-34
1680172393876,63,1.256569022717966e-34,8.276504769542917e-35,9.066443286985855e-35,1.3468545652895508e-34
1680172393876,63,1.1362082735096008e-34,1.2866677622006371e-34,1.6703565799430946e-34,7.637033546808188e-35
1680172393876,63,8.840697862105089e-35,1.4521820733655933e-34,1.286670058088041e-34,1.7982542683211462e-34
1680172393909,64,1.6477859404636047e-34,1.580078613799943e-34,7.900390773112311e-35,4.5332245133521823e-35
1680172393909,64,8.20123237908887e-35,1.2114354349817895e-34,1.4672261051687146e-34,8.61504427272048e-35
